,Actual,Predicted
0,399.4,458.6306000000001
1,459.8,472.73719999999975
5,364.5,443.64919999999984
6,529.2,485.50730000000027
7,566.7,657.9397000000006
8,372.4,460.5392
10,419.6,431.83249999999947
11,369.9,444.7884999999998
12,464.2,454.0163000000001
14,453.4,442.5580999999995
16,480.4,574.3161000000002
17,402.4,453.5721000000002
18,475.8,443.34379999999936
20,518.0,506.8430000000001
25,475.3,449.51809999999955
27,430.8,424.25150000000036
28,377.3,434.9194
29,467.3,441.4026000000002
30,553.9,457.8493999999995
31,394.0,461.0669999999999
32,415.5,424.7550999999997
33,427.3,438.50960000000083
34,508.0,440.0796999999996
35,563.6,477.6821999999999
36,383.2,432.0120999999999
38,470.0,438.8908000000002
39,435.4,435.6552000000004
40,373.9,437.70149999999944
41,542.4,503.1112999999999
42,405.7,433.99739999999974
43,555.6,572.4588999999999
44,539.7,565.766200000001
45,390.3,491.2189999999995
46,423.5,502.45979999999986
47,471.1,526.6438999999998
48,354.6,407.78300000000036
49,345.7,410.68320000000034
50,443.8,449.56039999999973
52,629.3,431.05929999999995
53,393.6,528.4207000000005
54,708.5,573.6886999999998
56,371.8,439.70949999999954
57,378.7,418.8989
58,468.5,442.6252999999996
60,728.3,602.2681999999999
61,434.2,422.93379999999985
62,414.1,434.5528000000001
63,457.8,501.90199999999913
65,370.8,450.28979999999996
66,412.4,436.0264999999996
68,355.6,444.11079999999953
69,401.6,418.2239999999999
70,492.8,445.89549999999974
71,407.6,430.8811
72,513.0,447.3299
73,604.9,442.31409999999994
74,495.3,485.66139999999945
75,397.3,451.4240000000002
76,344.1,415.0810000000001
77,397.0,448.75819999999965
80,488.3,448.29509999999976
82,363.1,419.11330000000015
84,418.0,455.31659999999994
85,503.0,444.9774000000001
86,507.8,427.97049999999984
88,392.4,418.2833
91,418.9,437.97909999999996
93,421.0,451.1888999999999
94,433.8,411.9440999999999
95,429.0,435.9590000000003
96,650.0,598.5663999999997
97,496.7,505.6899999999993
98,487.8,455.5640000000001
100,408.4,470.97449999999986
102,380.7,415.61800000000045
103,400.0,505.27799999999985
105,371.1,427.8398
106,411.8,442.7195999999999
107,575.0,458.6733999999996
108,408.6,460.50479999999993
109,378.4,443.1875999999998
110,457.4,511.93190000000027
114,708.2,583.7212000000002
115,445.3,424.1419000000002
116,496.1,572.8842999999999
117,499.7,556.4777000000005
118,345.8,417.2305999999999
121,540.2,485.6608000000003
123,540.5,503.83469999999977
124,408.3,476.50230000000005
125,399.3,463.9255999999997
128,363.4,442.8596000000002
129,538.3,500.79359999999997
131,403.9,466.55719999999997
132,438.6,463.8709999999998
133,437.1,425.7127999999997
134,443.3,436.6702000000002
135,724.1,690.3797000000001
138,501.7,423.7866
139,626.0,479.6294000000001
140,405.1,452.39699999999976
141,351.5,474.73989999999986
142,433.2,425.23899999999975
143,590.1,547.7151000000003
144,443.7,408.1268000000004
147,372.2,477.3834000000002
149,664.6,705.3937999999996
151,490.2,416.98750000000035
152,420.6,452.66790000000003
154,416.8,446.8883999999995
155,501.0,537.8924000000001
157,676.0,549.5011000000001
158,456.8,442.27700000000004
159,423.9,418.8769999999999
160,333.8,432.12279999999976
162,451.2,440.16819999999996
163,446.1,415.1502000000003
164,366.9,498.9411999999994
165,502.8,442.7479000000005
166,488.5,416.9690000000001
167,556.7,422.19009999999986
169,494.4,426.21169999999984
170,454.3,440.9140999999996
171,394.2,458.57449999999966
172,509.6,487.5907000000002
174,568.2,546.4893999999998
175,415.2,461.56659999999977
177,445.3,443.7949999999999
178,441.9,418.60710000000023
179,538.3,464.3152999999998
182,548.8,523.5325000000006
183,465.3,436.68149999999974
184,367.1,420.0431000000003
185,383.8,446.3956000000002
186,571.8,576.1765999999997
187,463.1,487.69090000000045
188,393.8,427.9475000000004
189,487.4,436.2149999999997
190,602.4,574.0897
192,391.2,417.40479999999997
193,443.8,511.21399999999954
195,374.8,416.06260000000026
197,700.9,663.996
198,500.7,453.2016000000002
199,375.6,446.66479999999973
200,769.8,646.6389999999997
201,420.8,426.1143000000006
202,517.3,442.98130000000003
204,400.0,442.67899999999975
205,341.0,444.0096999999996
206,631.1,576.5983000000003
208,601.5,557.3164000000004
209,545.5,433.78880000000044
210,539.7,498.9009
211,485.2,493.2528000000001
213,570.8,588.3274999999995
215,400.1,422.3408000000006
216,381.3,501.65799999999996
218,348.1,433.9890000000001
219,793.0,768.8144000000007
222,509.3,519.5820000000002
223,547.7,450.6134999999999
225,533.5,428.0001999999999
227,409.6,409.52190000000036
228,421.9,436.9142000000001
229,412.7,433.28329999999994
232,455.4,424.07310000000035
233,429.1,449.4626
234,666.9,576.1988999999999
236,504.4,434.5621999999998
237,379.5,420.76979999999986
239,563.3,527.4102000000003
240,448.6,474.3139000000007
241,422.5,434.4260999999996
242,355.0,431.19219999999984
245,621.6,436.52340000000004
246,364.8,411.0425
247,450.9,443.1436999999996
248,422.7,562.4037
249,372.1,417.5406999999998
250,434.3,431.8924
251,514.3,421.33790000000056
252,471.6,446.80630000000014
253,444.6,463.5125000000002
254,362.1,430.28959999999955
255,396.7,447.9675000000001
256,529.5,457.0808
257,388.0,424.12420000000054
258,484.4,507.13470000000035
259,362.8,420.60470000000004
260,574.3,514.2335999999997
262,487.9,417.5385000000004
263,550.0,535.6745000000001
264,570.2,567.4251
265,427.6,456.7849
267,524.1,492.14479999999986
268,419.1,424.8568
270,407.7,423.0140000000002
271,488.5,482.50209999999976
272,445.3,420.05600000000004
273,593.4,473.3968000000001
274,455.7,475.09069999999997
275,367.9,491.17609999999996
276,519.8,433.10329999999976
277,688.9,670.3525999999999
278,623.1,512.0557000000003
280,374.4,453.14930000000027
281,403.4,455.1633000000004
282,553.8,465.00289999999995
283,491.1,421.76779999999997
284,580.7,519.239600000001
285,342.5,455.6187000000001
286,547.0,455.41939999999994
289,408.3,420.40690000000063
291,499.6,424.4272999999998
293,476.6,493.30170000000004
297,808.0,773.6935999999994
298,541.3,477.7010999999998
299,513.8,540.4141000000001
300,466.2,484.7118000000002
301,501.9,508.88919999999985
302,510.3,464.43550000000016
303,469.3,417.1987000000005
304,451.6,449.7273000000001
305,400.2,411.9444000000001
306,347.8,491.16159999999945
307,568.3,543.8293000000004
308,393.6,448.9578999999999
309,580.2,499.3379000000002
310,499.5,423.6117000000003
311,364.3,419.90560000000033
312,388.7,426.0423
314,515.5,526.0783000000007
316,488.8,529.2019
317,496.4,459.0946999999999
319,471.3,444.18859999999967
320,338.8,440.25550000000004
322,571.9,510.0023999999999
324,430.5,436.95829999999944
325,461.2,421.24830000000026
326,459.0,444.7486999999999
327,477.6,417.0477000000006
329,493.1,419.8601
330,444.3,482.6374000000002
331,347.2,405.7179
332,417.8,504.85149999999976
